game,home_team,away_team,script,legs,home_sp,away_sp,close_total,home_k_line,home_k_matched,p_leg_k,p_leg_f5_under,p_leg_game_under,p_joint_copula,p_joint_indep,p_book_sgp,sgp_edge,corr_lift,synergy_home,home_bp_gassed,home_avg_p4pa,home_n_high_sub_risk,adi_note,book_corr_tax,action,p_leg_home_score5,p_leg_game_over,p_leg_home_win,away_bp_gassed,away_k_line,away_k_matched,p_leg_both_sp_k,p_leg_close_game,synergy_away,away_avg_p4pa,away_n_high_sub_risk,script_d_gate,home_burn_5d,away_burn_5d,d_note
NYY @ HOU,HOU,NYY,A2_Dominance,Home_SP_K_F5>=4(LANCE MCCULLERS JR.) | F5_Under_nan | Game_Under_nan,LANCE MCCULLERS JR.,WILL WARREN,,,False,,0.52,0.5,0.0,0.0,0.0,0.0,,0.7,0.0,0.84,5,ADI=1.160 (light/carry->over),0.15,NO_PROP,,,,,,,,,,,,,,,
WSH @ CWS,CWS,WSH,A2_Dominance,Home_SP_K_F5>=4(BRYAN HUDSON) | F5_Under_5.1 | Game_Under_9.0,BRYAN HUDSON,MILES MIKOLAS,9.0,,False,,0.5447,0.5238,0.0,0.0,0.0,0.0,,0.7,0.0,0.801,10,ADI=1.177 (light/carry->over),0.15,NO_PROP,,,,,,,,,,,,,,,
PIT @ MIL,MIL,PIT,D_LateDivergence,F5_Under_4.0 | Game_Over_7.0,BRANDON WOODRUFF,PAUL SKENES,7.0,,True,,0.5152,,0.0,0.0,0.0,0.0,,1.0,0.0,0.792,13,ADI=1.173 (light/carry->over),0.15,GATE,,0.5046,,0.0,,,,,,0.798,9.0,False,0.0,97.0,gate_not_met: bullpen_oksp_not_elite
CHC @ LAD,LAD,CHC,A2_Dominance,Home_SP_K_F5>=4(EMMET SHEEHAN) | F5_Under_nan | Game_Under_nan,EMMET SHEEHAN,JAMESON TAILLON,,,False,,0.52,0.5,0.0,0.0,0.0,0.0,,1.0,0.0,0.812,7,ADI=1.185 (dense/drag->under),0.15,NO_PROP,,,,,,,,,,,,,,,
MIA @ SF,SF,MIA,D_LateDivergence,F5_Under_nan | Game_Over_nan,ADRIAN HOUSER,SANDY ALCANTARA,,,True,,0.52,,0.0,0.0,0.0,0.0,,1.05,0.0,0.808,8,ADI=1.227 (dense/drag->under),0.15,GATE,,0.5,,1.0,,,,,,0.84,5.0,False,311.0,508.0,gate_not_met: sp_not_elite
MIA @ SF,SF,MIA,C_EliteDuel,Game_Under_nan | Both_SP_K_F5>=3(ADRIAN HOUSER/SANDY ALCANTARA) | MIA_RL+1.5,ADRIAN HOUSER,SANDY ALCANTARA,,,False,,,0.5,0.0,0.0,0.0,0.0,,1.05,0.0,0.808,8,ADI=1.227 (dense/drag->under),0.15,"NO_PROP:ADRIAN HOUSER,SANDY ALCANTARA",,,,,,False,,0.3,1.0,0.84,5.0,,,,
MIA @ SF,SF,MIA,B_Explosion,Home_Score>=5 | Game_Over_nan | SF_ML_Win [away_BP_GASSED] [lineup_integrity=0.96 n_high=8],ADRIAN HOUSER,SANDY ALCANTARA,,,True,,,,0.0,,,0.0,,1.05,,0.808,8,ADI=1.227 (dense/drag->under),0.15,pass,,0.5,,1.0,,,,,,,,,,,
MIA @ SF,SF,MIA,A2_Dominance,Home_SP_K_F5>=4(ADRIAN HOUSER) | F5_Under_nan | Game_Under_nan,ADRIAN HOUSER,SANDY ALCANTARA,,,False,,0.52,0.5,0.0,0.0,0.0,0.0,,1.05,0.0,0.808,8,ADI=1.227 (dense/drag->under),0.15,NO_PROP,,,,,,,,,,,,,,,
CHC @ LAD,LAD,CHC,C_EliteDuel,Game_Under_nan | Both_SP_K_F5>=3(EMMET SHEEHAN/JAMESON TAILLON) | CHC_RL+1.5,EMMET SHEEHAN,JAMESON TAILLON,,,False,,,0.5,0.0,0.0,0.0,0.0,,1.0,0.0,0.812,7,ADI=1.185 (dense/drag->under),0.15,"NO_PROP:EMMET SHEEHAN,JAMESON TAILLON",,,,,,False,,0.3,1.0,0.778,14.0,,,,
CHC @ LAD,LAD,CHC,B_Explosion,Home_Score>=5 | Game_Over_nan | LAD_ML_Win [away_BP_GASSED] [lineup_integrity=0.97 n_high=7],EMMET SHEEHAN,JAMESON TAILLON,,,True,,,,0.0,,,0.0,,1.0,,0.812,7,ADI=1.185 (dense/drag->under),0.15,pass,,0.5,,1.0,,,,,,,,,,,
SEA @ STL,STL,SEA,D_LateDivergence,F5_Under_nan | Game_Over_nan,ANDRE PALLANTE,GEORGE KIRBY,,,True,,0.52,,0.0,0.0,0.0,0.0,,1.0,0.0,0.84,5,ADI=1.181 (dense/drag->under),0.15,GATE,,0.5,,1.0,,,,,,0.84,5.0,False,0.0,512.0,gate_not_met: sp_not_elite
SEA @ STL,STL,SEA,A2_Dominance,Home_SP_K_F5>=4(ANDRE PALLANTE) | F5_Under_nan | Game_Under_nan,ANDRE PALLANTE,GEORGE KIRBY,,,False,,0.52,0.5,0.0,0.0,0.0,0.0,,1.0,0.0,0.84,5,ADI=1.181 (dense/drag->under),0.15,NO_PROP,,,,,,,,,,,,,,,
MIN @ TB,TB,MIN,D_LateDivergence,F5_Under_4.3 | Game_Over_7.5,DREW RASMUSSEN,TAJ BRADLEY,7.5,,True,,0.5152,,0.0,0.0,0.0,0.0,,0.7,1.0,0.84,5,ADI=1.172 (light/carry->over),0.15,GATE,,0.5046,,0.0,,,,,,0.804,8.0,False,399.0,203.0,gate_not_met: sp_not_elite
SEA @ STL,STL,SEA,B_Explosion,Home_Score>=5 | Game_Over_nan | STL_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],ANDRE PALLANTE,GEORGE KIRBY,,,True,,,,0.0,,,0.0,,1.0,,0.84,5,ADI=1.181 (dense/drag->under),0.15,pass,,0.5,,1.0,,,,,,,,,,,
SEA @ STL,STL,SEA,C_EliteDuel,Game_Under_nan | Both_SP_K_F5>=3(ANDRE PALLANTE/GEORGE KIRBY) | SEA_RL+1.5,ANDRE PALLANTE,GEORGE KIRBY,,,False,,,0.5,0.0,0.0,0.0,0.0,,1.0,0.0,0.84,5,ADI=1.181 (dense/drag->under),0.15,"NO_PROP:ANDRE PALLANTE,GEORGE KIRBY",,,,,,False,,0.3,1.0,0.84,5.0,,,,
ATH @ TEX,TEX,ATH,A2_Dominance,Home_SP_K_F5>=4(NATHAN EOVALDI) | F5_Under_nan | Game_Under_nan,NATHAN EOVALDI,LUIS SEVERINO,,,False,,0.52,0.5,0.0,0.0,0.0,0.0,,0.7,0.0,0.799,10,ADI=1.122 (light/carry->over),0.15,NO_PROP,,,,,,,,,,,,,,,
ATH @ TEX,TEX,ATH,D_LateDivergence,F5_Under_nan | Game_Over_nan,NATHAN EOVALDI,LUIS SEVERINO,,,True,,0.52,,0.0,0.0,0.0,0.0,,0.7,0.0,0.799,10,ADI=1.122 (light/carry->over),0.15,GATE,,0.5,,0.0,,,,,,0.84,5.0,False,341.0,152.0,gate_not_met: sp_not_elite
ATH @ TEX,TEX,ATH,C_EliteDuel,Game_Under_nan | Both_SP_K_F5>=3(NATHAN EOVALDI/LUIS SEVERINO) | ATH_RL+1.5,NATHAN EOVALDI,LUIS SEVERINO,,,False,,,0.5,0.0,0.0,0.0,0.0,,0.7,0.0,0.799,10,ADI=1.122 (light/carry->over),0.15,"NO_PROP:NATHAN EOVALDI,LUIS SEVERINO",,,,,,False,,0.3,1.0,0.84,5.0,,,,
ATH @ TEX,TEX,ATH,B_Explosion,Home_Score>=5 | Game_Over_nan | TEX_ML_Win [lineup_integrity=0.95 n_high=10],NATHAN EOVALDI,LUIS SEVERINO,,,True,,,,0.0,,,0.0,,0.7,,0.799,10,ADI=1.122 (light/carry->over),0.15,pass,,0.5,,0.0,,,,,,,,,,,
CLE @ TOR,TOR,CLE,D_LateDivergence,F5_Under_4.6 | Game_Over_8.0,MAX SCHERZER,GAVIN WILLIAMS,8.0,,True,,0.4999,,0.0,0.0,0.0,0.0,,1.05,0.0,0.84,5,ADI=1.244 (dense/drag->under),0.15,GATE,,0.5193,,1.0,,,,,,0.84,5.0,False,0.0,502.0,gate_not_met: sp_not_elite
